product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-05-29;2025-06-02;9
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-05-29;2025-06-02;28
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-05-29;2025-06-02;13
P028;ulei floarea-soarelui;Bunica;1.0;l;alimente de bază;2025-05-29;2025-06-02;15
P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-05-29;2025-06-02;10
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-29;2025-06-02;7
P017;piept pui;Lidl;1.0;kg;carne;2025-05-29;2025-06-02;19
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-29;2025-06-02;28
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-29;2025-06-02;27
P011;pâine albă;Lidl;500.0;g;panificație;2025-05-29;2025-06-02;29
