product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P035;cafea măcinată;Jacobs;0.25;kg;cafea;2025-03-06;2025-03-12;13
P022;zahăr tos;Mărgăritar;1.0;kg;alimente de bază;2025-03-06;2025-03-12;23
P060;suc portocale;Cappy;1.0;l;băuturi;2025-03-06;2025-03-12;20
P003;iaurt grecesc;Olympus;0.4;kg;lactate;2025-03-06;2025-03-12;6
P012;pâine albă;K-Classic;500.0;g;panificație;2025-03-06;2025-03-12;12
P025;apă plată;Dorna;2.0;l;băuturi;2025-03-06;2025-03-12;21
P058;ceapă galbenă;Generic;1.0;kg;legume și fructe;2025-03-06;2025-03-12;18
P032;biscuiți cu unt;Milka;0.2;kg;gustări;2025-03-06;2025-03-12;24
P027;banane;Generic;1.0;kg;legume și fructe;2025-03-06;2025-03-12;28
P059;morcovi;Generic;0.5;kg;legume și fructe;2025-03-06;2025-03-12;16
