product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P017;piept pui;Lidl;1.0;kg;carne;2025-04-03;2025-04-08;12
P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-04-03;2025-04-08;26
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-04-03;2025-04-08;14
P046;piper negru măcinat;Kotanyi;50.0;g;condimente;2025-04-03;2025-04-08;11
P040;șampon păr gras;Head & Shoulders;400.0;ml;îngrijire personală;2025-04-03;2025-04-08;5
P049;vin alb demisec;Jidvei;0.75;l;băuturi;2025-04-03;2025-04-08;25
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-04-03;2025-04-08;9
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-04-03;2025-04-08;21
P043;hârtie igienică 3 straturi;Zewa;10.0;role;produse de menaj;2025-04-03;2025-04-08;14
P028;ulei floarea-soarelui;Bunica;1.0;l;alimente de bază;2025-04-03;2025-04-08;15
