product_id;product_name;product_category;brand;package_quantity;package_unit;price;currency
P001;lapte zuzu;lactate;Zuzu;1;l;9.49;RON
P003;iaurt grecesc;lactate;Olympus;0.4;kg;10.64;RON
P006;ouă mărimea M;ouă;Ferma Veche;10;buc;12.18;RON
P009;brânză telemea;lactate;Hochland;0.3;kg;11.85;RON
P012;pâine albă;panificație;K-Classic;500;g;3.34;RON
P015;roșii cherry;legume și fructe;K-Bio;250;g;6.44;RON
P018;piept pui;carne;Agricola;1;kg;25.38;RON
P020;spaghetti nr.5;paste făinoase;Barilla;500;g;5.28;RON
P022;zahăr tos;alimente de bază;Mărgăritar;1;kg;4.13;RON
P025;apă plată;băuturi;Dorna;2;l;4.88;RON
P027;banane;legume și fructe;Generic;1;kg;5.68;RON
P029;ulei floarea-soarelui;alimente de bază;Floriol;1;l;9.03;RON
P032;biscuiți cu unt;gustări;Milka;0.2;kg;7.07;RON
P035;cafea măcinată;cafea;Jacobs;0.25;kg;21.27;RON
P038;detergent lichid;produse de menaj;Ariel;2.5;l;45.61;RON
P041;șampon păr gras;îngrijire personală;Elseve;400;ml;16.42;RON
P044;hârtie igienică 3 straturi;produse de menaj;Pufina;10;role;17.26;RON
P047;piper negru măcinat;condimente;Fuchs;50;g;5.64;RON
P050;vin alb demisec;băuturi;Recas;0.75;l;22.23;RON
P053;ciocolată neagră 70%;gustări;Heidi;100;g;3.84;RON
P056;cartofi albi;legume și fructe;Generic;1;kg;2.9;RON
P058;ceapă galbenă;legume și fructe;Generic;1;kg;2.68;RON
P059;morcovi;legume și fructe;Generic;0.5;kg;2.29;RON
P060;suc portocale;băuturi;Cappy;1;l;7.28;RON
P062;cașcaval;lactate;Delaco;0.25;kg;13.31;RON
