product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P006;ouă mărimea M;Ferma Veche;10.0;buc;ouă;2025-02-06;2025-02-08;26
P022;zahăr tos;Mărgăritar;1.0;kg;alimente de bază;2025-02-06;2025-02-08;7
P018;piept pui;Agricola;1.0;kg;carne;2025-02-06;2025-02-08;9
P060;suc portocale;Cappy;1.0;l;băuturi;2025-02-06;2025-02-08;21
P009;brânză telemea;Hochland;0.3;kg;lactate;2025-02-06;2025-02-08;26
P053;ciocolată neagră 70%;Heidi;100.0;g;gustări;2025-02-06;2025-02-08;20
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-02-06;2025-02-08;11
P003;iaurt grecesc;Olympus;0.4;kg;lactate;2025-02-06;2025-02-08;27
P047;piper negru măcinat;Fuchs;50.0;g;condimente;2025-02-06;2025-02-08;27
P041;șampon păr gras;Elseve;400.0;ml;îngrijire personală;2025-02-06;2025-02-08;30
P025;apă plată;Dorna;2.0;l;băuturi;2025-02-06;2025-02-08;12
P050;vin alb demisec;Recas;0.75;l;băuturi;2025-02-06;2025-02-08;5
