product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-04-10;2025-04-12;19
P013;pâine albă;Proxi;500.0;g;panificație;2025-04-10;2025-04-12;5
P019;piept pui;Avicola;1.0;kg;carne;2025-04-10;2025-04-12;27
P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-04-10;2025-04-12;25
P070;bere blondă;Ursus;0.5;l;băuturi;2025-04-10;2025-04-12;20
P016;roșii cherry;Generic;250.0;g;legume și fructe;2025-04-10;2025-04-12;30
P004;iaurt grecesc;Proxi;0.4;kg;lactate;2025-04-10;2025-04-12;13
P027;banane;Generic;1.0;kg;legume și fructe;2025-04-10;2025-04-12;19
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-04-10;2025-04-12;17
P007;ouă mărimea M;Din Ogradă;10.0;buc;ouă;2025-04-10;2025-04-12;26
P036;cafea măcinată;Tchibo;0.25;kg;cafea;2025-04-10;2025-04-12;25
P067;orez bob lung;Deroni;1.0;kg;alimente de bază;2025-04-10;2025-04-12;26
