product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P032;biscuiți cu unt;Milka;0.2;kg;gustări;2025-04-10;2025-04-16;7
P022;zahăr tos;Mărgăritar;1.0;kg;alimente de bază;2025-04-10;2025-04-16;18
P044;hârtie igienică 3 straturi;Pufina;10.0;role;produse de menaj;2025-04-10;2025-04-16;19
P038;detergent lichid;Ariel;2.5;l;produse de menaj;2025-04-10;2025-04-16;26
P041;șampon păr gras;Elseve;400.0;ml;îngrijire personală;2025-04-10;2025-04-16;19
P018;piept pui;Agricola;1.0;kg;carne;2025-04-10;2025-04-16;17
P058;ceapă galbenă;Generic;1.0;kg;legume și fructe;2025-04-10;2025-04-16;27
P006;ouă mărimea M;Ferma Veche;10.0;buc;ouă;2025-04-10;2025-04-16;18
P025;apă plată;Dorna;2.0;l;băuturi;2025-04-10;2025-04-16;25
P056;cartofi albi;Generic;1.0;kg;legume și fructe;2025-04-10;2025-04-16;25
P027;banane;Generic;1.0;kg;legume și fructe;2025-04-10;2025-04-16;29
P063;cașcaval;K-Classic;0.25;kg;lactate;2025-04-10;2025-04-16;27
