product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P009;brânză telemea;Hochland;0.3;kg;lactate;2025-05-01;2025-05-07;20
P018;piept pui;Agricola;1.0;kg;carne;2025-05-01;2025-05-07;19
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-05-01;2025-05-07;5
P003;iaurt grecesc;Olympus;0.4;kg;lactate;2025-05-01;2025-05-07;25
P058;ceapă galbenă;Generic;1.0;kg;legume și fructe;2025-05-01;2025-05-07;9
P053;ciocolată neagră 70%;Heidi;100.0;g;gustări;2025-05-01;2025-05-07;24
P044;hârtie igienică 3 straturi;Pufina;10.0;role;produse de menaj;2025-05-01;2025-05-07;27
P012;pâine albă;K-Classic;500.0;g;panificație;2025-05-01;2025-05-07;18
P035;cafea măcinată;Jacobs;0.25;kg;cafea;2025-05-01;2025-05-07;14
P038;detergent lichid;Ariel;2.5;l;produse de menaj;2025-05-01;2025-05-07;14
P041;șampon păr gras;Elseve;400.0;ml;îngrijire personală;2025-05-01;2025-05-07;11
P006;ouă mărimea M;Ferma Veche;10.0;buc;ouă;2025-05-01;2025-05-07;26
