product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P069;pastă de dinți;Colgate;100.0;ml;îngrijire personală;2025-02-13;2025-02-15;25
P039;detergent lichid;Dero;2.5;l;produse de menaj;2025-02-13;2025-02-15;21
P013;pâine albă;Proxi;500.0;g;panificație;2025-02-13;2025-02-15;18
P070;bere blondă;Ursus;0.5;l;băuturi;2025-02-13;2025-02-15;22
P019;piept pui;Avicola;1.0;kg;carne;2025-02-13;2025-02-15;25
P067;orez bob lung;Deroni;1.0;kg;alimente de bază;2025-02-13;2025-02-15;26
P007;ouă mărimea M;Din Ogradă;10.0;buc;ouă;2025-02-13;2025-02-15;23
P036;cafea măcinată;Tchibo;0.25;kg;cafea;2025-02-13;2025-02-15;23
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-02-13;2025-02-15;13
P027;banane;Generic;1.0;kg;legume și fructe;2025-02-13;2025-02-15;17
P033;biscuiți cu unt;RoStar;0.2;kg;gustări;2025-02-13;2025-02-15;23
P023;zahăr tos;Proxi;1.0;kg;alimente de bază;2025-02-13;2025-02-15;17
