product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P004;iaurt grecesc;Proxi;0.4;kg;lactate;2025-06-05;2025-06-07;5
P068;iaurt de băut;Activia;0.33;kg;lactate;2025-06-05;2025-06-07;5
P027;banane;Generic;1.0;kg;legume și fructe;2025-06-05;2025-06-07;12
P051;vin alb demisec;Cotnari;0.75;l;băuturi;2025-06-05;2025-06-07;5
P033;biscuiți cu unt;RoStar;0.2;kg;gustări;2025-06-05;2025-06-07;9
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-06-05;2025-06-07;12
P042;șampon păr gras;Schauma;400.0;ml;îngrijire personală;2025-06-05;2025-06-07;9
P030;ulei floarea-soarelui;Spornic;1.0;l;alimente de bază;2025-06-05;2025-06-07;17
P023;zahăr tos;Proxi;1.0;kg;alimente de bază;2025-06-05;2025-06-07;23
P059;morcovi;Generic;0.5;kg;legume și fructe;2025-06-05;2025-06-07;8
