product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-02-06;2025-02-11;17
P043;hârtie igienică 3 straturi;Zewa;10.0;role;produse de menaj;2025-02-06;2025-02-11;19
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-02-06;2025-02-11;28
P026;banane;Lidl;1.0;kg;legume și fructe;2025-02-06;2025-02-11;28
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-02-06;2025-02-11;12
P046;piper negru măcinat;Kotanyi;50.0;g;condimente;2025-02-06;2025-02-11;5
P002;iaurt grecesc;Lidl;0.4;kg;lactate;2025-02-06;2025-02-11;9
P024;apă plată;Aqua Carpatica;2.0;l;băuturi;2025-02-06;2025-02-11;21
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-02-06;2025-02-11;26
P040;șampon păr gras;Head & Shoulders;400.0;ml;îngrijire personală;2025-02-06;2025-02-11;20
