product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P021;zahăr tos;Lidl;1.0;kg;alimente de bază;2025-05-29;2025-05-31;14
P049;vin alb demisec;Jidvei;0.75;l;băuturi;2025-05-29;2025-05-31;10
P011;pâine albă;Lidl;500.0;g;panificație;2025-05-29;2025-05-31;24
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-29;2025-05-31;27
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-29;2025-05-31;16
P052;ciocolată neagră 70%;Fin Carre;100.0;g;gustări;2025-05-29;2025-05-31;6
P046;piper negru măcinat;Kotanyi;50.0;g;condimente;2025-05-29;2025-05-31;17
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-05-29;2025-05-31;26
P014;roșii cherry;Lidl;250.0;g;legume și fructe;2025-05-29;2025-05-31;24
P028;ulei floarea-soarelui;Bunica;1.0;l;alimente de bază;2025-05-29;2025-05-31;29
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-29;2025-05-31;10
