product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P011;pâine albă;Lidl;500.0;g;panificație;2025-03-06;2025-03-12;25
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-03-06;2025-03-12;22
P014;roșii cherry;Lidl;250.0;g;legume și fructe;2025-03-06;2025-03-12;18
P043;hârtie igienică 3 straturi;Zewa;10.0;role;produse de menaj;2025-03-06;2025-03-12;26
P017;piept pui;Lidl;1.0;kg;carne;2025-03-06;2025-03-12;30
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-03-06;2025-03-12;10
P026;banane;Lidl;1.0;kg;legume și fructe;2025-03-06;2025-03-12;27
P028;ulei floarea-soarelui;Bunica;1.0;l;alimente de bază;2025-03-06;2025-03-12;6
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-03-06;2025-03-12;18
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-03-06;2025-03-12;28
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-03-06;2025-03-12;13
P052;ciocolată neagră 70%;Fin Carre;100.0;g;gustări;2025-03-06;2025-03-12;30
