product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P022;zahăr tos;Mărgăritar;1.0;kg;alimente de bază;2025-05-29;2025-06-02;26
P041;șampon păr gras;Elseve;400.0;ml;îngrijire personală;2025-05-29;2025-06-03;27
P059;morcovi;Generic;0.5;kg;legume și fructe;2025-05-29;2025-06-04;20
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-05-29;2025-06-02;17
P029;ulei floarea-soarelui;Floriol;1.0;l;alimente de bază;2025-06-01;2025-06-04;17
P047;piper negru măcinat;Fuchs;50.0;g;condimente;2025-05-29;2025-06-03;23
P025;apă plată;Dorna;2.0;l;băuturi;2025-05-29;2025-06-01;29
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-29;2025-06-03;15
P006;ouă mărimea M;Ferma Veche;10.0;buc;ouă;2025-06-02;2025-06-04;16
P053;ciocolată neagră 70%;Heidi;100.0;g;gustări;2025-06-01;2025-06-04;20
P027;banane;Generic;1.0;kg;legume și fructe;2025-05-29;2025-06-04;26
P063;cașcaval;K-Classic;0.25;kg;lactate;2025-05-29;2025-06-03;5
