product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P037;detergent lichid;Persil;2.5;l;produse de menaj;2025-05-27;2025-05-28;12
P043;hârtie igienică 3 straturi;Zewa;10.0;role;produse de menaj;2025-05-22;2025-05-25;13
P064;mălai extra;Pambac;1.0;kg;alimente de bază;2025-05-26;2025-05-28;30
P046;piper negru măcinat;Kotanyi;50.0;g;condimente;2025-05-22;2025-05-25;7
P040;șampon păr gras;Head & Shoulders;400.0;ml;îngrijire personală;2025-05-28;2025-05-28;12
P034;cafea măcinată;Davidoff;0.25;kg;cafea;2025-05-22;2025-05-25;6
P005;ouă mărimea M;Lidl;10.0;buc;ouă;2025-05-25;2025-05-28;15
P031;biscuiți cu unt;Deluxe;0.2;kg;gustări;2025-05-24;2025-05-25;23
P065;file somon;Lidl;0.2;kg;pește;2025-05-26;2025-05-28;27
P001;lapte zuzu;Zuzu;1.0;l;lactate;2025-05-27;2025-05-28;28
P008;brânză telemea;Pilos;0.3;kg;lactate;2025-05-28;2025-05-28;17
