product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P015;roșii cherry;K-Bio;250.0;g;legume și fructe;2025-05-22;2025-05-27;29
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-05-27;2025-05-28;10
P032;biscuiți cu unt;Milka;0.2;kg;gustări;2025-05-22;2025-05-27;11
P061;suc portocale;Santorini;1.0;l;băuturi;2025-05-22;2025-05-27;17
P022;zahăr tos;Mărgăritar;1.0;kg;alimente de bază;2025-05-27;2025-05-28;20
P012;pâine albă;K-Classic;500.0;g;panificație;2025-05-22;2025-05-27;6
P038;detergent lichid;Ariel;2.5;l;produse de menaj;2025-05-22;2025-05-27;14
P009;brânză telemea;Hochland;0.3;kg;lactate;2025-05-22;2025-05-27;7
P053;ciocolată neagră 70%;Heidi;100.0;g;gustări;2025-05-26;2025-05-27;20
P044;hârtie igienică 3 straturi;Pufina;10.0;role;produse de menaj;2025-05-22;2025-05-27;18
P027;banane;Generic;1.0;kg;legume și fructe;2025-05-28;2025-05-28;11
