product_id;product_name;brand;package_quantity;package_unit;product_category;from_date;to_date;percentage_of_discount
P044;hârtie igienică 3 straturi;Pufina;10.0;role;produse de menaj;2025-02-27;2025-03-03;9
P050;vin alb demisec;Recas;0.75;l;băuturi;2025-02-27;2025-03-03;26
P041;șampon păr gras;Elseve;400.0;ml;îngrijire personală;2025-02-27;2025-03-03;5
P035;cafea măcinată;Jacobs;0.25;kg;cafea;2025-02-27;2025-03-03;29
P059;morcovi;Generic;0.5;kg;legume și fructe;2025-02-27;2025-03-03;26
P003;iaurt grecesc;Olympus;0.4;kg;lactate;2025-02-27;2025-03-03;14
P015;roșii cherry;K-Bio;250.0;g;legume și fructe;2025-02-27;2025-03-03;15
P063;cașcaval;K-Classic;0.25;kg;lactate;2025-02-27;2025-03-03;11
P020;spaghetti nr.5;Barilla;500.0;g;paste făinoase;2025-02-27;2025-03-03;17
P025;apă plată;Dorna;2.0;l;băuturi;2025-02-27;2025-03-03;22
P027;banane;Generic;1.0;kg;legume și fructe;2025-02-27;2025-03-03;7
P009;brânză telemea;Hochland;0.3;kg;lactate;2025-02-27;2025-03-03;29
